order_id,order_date,customer_id,customer_name,country,product_id,category,quantity,unit_price,payment_method,order_status,platform
WEB-10078,2026-03-17,CUST-357,Arthur Jones,US,PROD-063,Home,3,124.73,Credit Card,Returned,Mobile App
WEB-10079,2026-05-19,CUST-227,Michael Kirby,IN,PROD-082,Clothing,5,98.57,UPI,Returned,Mobile Web
WEB-10080,2026-01-20,CUST-111,Megan Anderson,FR,PROD-027,Clothing,2,37.59,Credit Card,Cancelled,Mobile Web
WEB-10081,2025-10-05,CUST-216,John Rodriguez,UK,PROD-022,Clothing,5,97.73,Credit Card,Returned,Mobile App
WEB-10082,2026-01-05,CUST-183,Katie Burke,IN,PROD-022,Clothing,4,35.87,PayPal,Completed,Desktop Web
WEB-10083,2025-12-07,CUST-297,Tim Young,US,PROD-057,Clothing,5,104.73,UPI,Returned,Mobile App
WEB-10084,2026-05-29,CUST-308,Jillian Hamilton,FR,PROD-023,Home,2,83.46,PayPal,Returned,Mobile Web
WEB-10085,2025-12-30,CUST-213,Monica Oliver,DE,PROD-021,Electronics,1,333.24,Credit Card,Cancelled,Desktop Web
WEB-10086,2026-07-20,CUST-346,Deanna Johnson,FR,PROD-067,Clothing,4,115.38,UPI,Completed,Desktop Web
WEB-10087,2026-05-02,CUST-218,Christine Randolph,CA,PROD-100,Sports,2,76.74,Credit Card,Returned,Desktop Web
WEB-10088,2026-08-21,CUST-371,Heather Curtis,IN,PROD-064,Books,5,23.06,PayPal,Cancelled,Mobile App
WEB-10089,2025-10-15,CUST-398,Valerie Perry,US,PROD-078,Home,3,20.34,Debit Card,Cancelled,Mobile Web
WEB-10090,2026-08-20,CUST-377,William Herman,IN,PROD-020,Sports,4,229.23,UPI,Returned,Mobile Web
WEB-10091,2025-10-03,CUST-192,Michael Harris,AU,PROD-015,Sports,3,212.25,Credit Card,Cancelled,Mobile Web
WEB-10092,2026-03-01,CUST-201,Mark Austin,FR,PROD-093,Home,5,95.46,PayPal,Completed,Mobile Web
WEB-10093,2026-03-14,CUST-226,John Taylor,AU,PROD-027,Clothing,5,77.6,Credit Card,Returned,Mobile Web
WEB-10094,2026-02-18,CUST-332,Chelsea Jennings,CA,PROD-021,Electronics,5,355.22,Debit Card,Returned,Mobile Web
WEB-10095,2025-11-05,CUST-326,Katrina Medina,AU,PROD-096,Electronics,4,785.03,PayPal,Returned,Mobile Web
WEB-10096,2025-11-11,CUST-343,Jeffrey Hartman,FR,PROD-015,Sports,5,220.34,UPI,Cancelled,Mobile Web
WEB-10097,2026-04-06,CUST-308,Tyler Michael,FR,PROD-038,Home,2,71.0,PayPal,Cancelled,Mobile Web
WEB-10098,2026-01-19,CUST-300,Ashley Weaver,UK,PROD-080,Sports,1,68.65,Debit Card,Completed,Mobile Web
WEB-10099,2026-02-07,CUST-201,Amy Pacheco,AU,PROD-076,Electronics,1,451.29,Credit Card,Cancelled,Mobile Web
WEB-10100,2026-01-31,CUST-324,Daniel Nguyen,IN,PROD-065,Sports,4,240.38,Credit Card,Cancelled,Mobile App
WEB-10101,2026-01-15,CUST-176,Taylor Munoz PhD,AU,PROD-084,Books,3,8.71,Credit Card,Returned,Desktop Web
WEB-10102,2026-08-07,CUST-186,Amanda Riley,UK,PROD-066,Electronics,5,78.46,UPI,Completed,Mobile Web
WEB-10103,2025-11-16,CUST-256,Dr. Glenn Johnson,DE,PROD-011,Electronics,3,215.07,UPI,Cancelled,Mobile Web
WEB-10104,2026-02-27,CUST-299,Stuart Khan,DE,PROD-088,Home,1,198.68,Debit Card,Completed,Desktop Web
WEB-10105,2026-08-13,CUST-103,Joshua Welch,AU,PROD-044,Books,1,12.56,UPI,Returned,Mobile App
WEB-10106,2026-01-08,CUST-200,Adam Cole,DE,PROD-098,Home,3,184.81,PayPal,Returned,Desktop Web
WEB-10107,2026-07-03,CUST-101,Melanie Yoder,CA,PROD-026,Electronics,4,789.66,PayPal,Cancelled,Mobile Web
WEB-10108,2026-08-13,CUST-245,Sue Harper,CA,PROD-026,Electronics,3,487.43,Debit Card,Completed,Mobile Web
WEB-10109,2026-07-18,CUST-381,Jason Benson,DE,PROD-039,Books,2,41.94,UPI,Cancelled,Mobile App
WEB-10110,2025-12-17,CUST-219,Matthew Perry,IN,PROD-011,Electronics,5,713.77,UPI,Returned,Desktop Web
WEB-10111,2026-08-14,CUST-304,Virginia Lang,CA,PROD-067,Clothing,2,25.75,Credit Card,Completed,Mobile Web
WEB-10112,2026-01-05,CUST-276,Richard David,CA,PROD-062,Clothing,3,75.53,Credit Card,Returned,Mobile Web
WEB-10113,2026-04-29,CUST-159,Tony May,UK,PROD-076,Electronics,3,498.01,UPI,Returned,Desktop Web
WEB-10114,2025-12-06,CUST-190,Linda Kirby,AU,PROD-008,Home,4,42.66,Debit Card,Returned,Mobile App
WEB-10115,2026-01-03,CUST-299,Sean Guzman,US,PROD-091,Electronics,2,758.15,Credit Card,Returned,Mobile Web
WEB-10116,2026-07-30,CUST-147,Robert Williams,US,PROD-073,Home,5,157.31,PayPal,Completed,Desktop Web
WEB-10117,2026-04-23,CUST-101,Jodi Griffin,DE,PROD-028,Home,5,140.17,UPI,Completed,Mobile Web
WEB-10118,2026-08-09,CUST-307,Anthony Carroll,IN,PROD-049,Books,2,23.47,Credit Card,Cancelled,Mobile Web
WEB-10119,2026-09-05,CUST-305,Joanna Hunter,AU,PROD-082,Clothing,1,92.53,PayPal,Returned,Desktop Web
WEB-10120,2026-08-07,CUST-367,Veronica Taylor MD,FR,PROD-012,Clothing,4,113.66,PayPal,Returned,Mobile Web
WEB-10121,2025-10-31,CUST-320,Victor Turner,US,PROD-065,Sports,2,58.62,Credit Card,Cancelled,Mobile Web
WEB-10122,2025-10-29,CUST-326,Anthony Joseph,FR,PROD-071,Electronics,2,308.96,UPI,Cancelled,Desktop Web
WEB-10123,2026-03-17,CUST-272,Alexandra Marshall,FR,PROD-053,Home,4,175.32,Credit Card,Returned,Mobile Web
WEB-10124,2025-10-01,CUST-258,Aaron Campbell,AU,PROD-074,Books,5,34.0,Debit Card,Returned,Desktop Web
WEB-10125,2026-05-01,CUST-330,Shannon Nichols,UK,PROD-068,Home,5,213.99,Credit Card,Returned,Mobile App
WEB-10126,2025-11-30,CUST-310,Lisa Roberts,FR,PROD-056,Electronics,4,221.84,UPI,Returned,Mobile Web
WEB-10127,2026-08-05,CUST-289,Karen Hampton,US,PROD-038,Home,3,129.51,Debit Card,Completed,Mobile App
WEB-10128,2025-11-23,CUST-306,Miss Shelly Stephens MD,IN,PROD-021,Electronics,3,422.27,Credit Card,Cancelled,Mobile Web
WEB-10129,2025-10-07,CUST-207,Mr. Brett Jacobs,UK,PROD-091,Electronics,2,-75.07,Debit Card,Returned,Mobile App
WEB-10130,2026-01-07,CUST-259,Michelle Vargas,DE,PROD-032,Clothing,2,37.53,Credit Card,Returned,Mobile Web
WEB-10131,2025-12-29,CUST-317,David Castillo,IN,PROD-082,Clothing,3,96.13,Credit Card,Returned,Mobile Web
WEB-10132,2026-02-26,CUST-246,Mike Jackson,IN,PROD-026,Electronics,3,641.74,UPI,Cancelled,Mobile Web
WEB-10133,2025-10-16,CUST-320,Joel Sanchez,IN,PROD-019,Books,3,35.41,PayPal,Completed,Mobile Web
WEB-10134,2026-04-15,CUST-157,Susan Cortez,IN,PROD-064,Books,4,27.41,PayPal,Returned,Mobile App
WEB-10135,2026-05-22,CUST-390,Jerry Lynn,AU,PROD-051,Electronics,5,540.23,UPI,Cancelled,Mobile Web
WEB-10136,2026-01-30,CUST-110,Michelle Spence,US,PROD-074,Books,1,32.61,Debit Card,Completed,Mobile App
WEB-10137,2026-06-16,CUST-292,Thomas Blevins,CA,PROD-061,Electronics,5,122.38,Debit Card,Returned,Desktop Web
WEB-10138,2026-04-22,CUST-325,Mark Roach,FR,PROD-070,Sports,4,199.05,Credit Card,Cancelled,Mobile App
WEB-10139,2025-12-26,CUST-395,Jonathan Adkins,FR,PROD-016,Electronics,3,311.9,Credit Card,Cancelled,Mobile Web
WEB-10140,2026-03-21,CUST-302,Terry Navarro,FR,PROD-041,Electronics,3,699.69,PayPal,Returned,Mobile App
WEB-10141,2026-08-18,CUST-139,Kevin Jones,US,PROD-020,Sports,1,257.14,Credit Card,Cancelled,Mobile Web
WEB-10142,2026-09-05,CUST-147,Donna Gill,CA,PROD-083,Home,1,45.4,UPI,Completed,Mobile App
WEB-10143,2026-06-18,CUST-135,Tanya Pittman MD,IN,PROD-055,Sports,5,193.28,Credit Card,Completed,Desktop Web
WEB-10144,2026-02-27,CUST-103,Joseph Macias,UK,PROD-092,Clothing,3,26.08,UPI,Cancelled,Desktop Web
WEB-10145,2026-03-30,CUST-390,Tiffany Allen,CA,PROD-018,Home,2,33.27,Debit Card,Cancelled,Mobile App
WEB-10146,2026-02-26,CUST-381,Mark Brown,UK,PROD-084,Books,3,17.24,PayPal,Returned,Mobile App
WEB-10147,2026-03-19,CUST-193,David May,FR,PROD-022,Clothing,5,116.34,Debit Card,Returned,Mobile App
WEB-10148,2025-11-09,CUST-117,Savannah Rivera,CA,PROD-004,Books,5,42.7,UPI,Completed,Desktop Web
WEB-10149,2026-02-18,CUST-233,Theresa Russell,FR,PROD-045,Sports,4,148.24,Debit Card,Returned,Mobile App
WEB-10150,2025-11-20,CUST-138,Edward Diaz,IN,PROD-029,Books,2,17.74,PayPal,Cancelled,Mobile App
WEB-10151,2026-02-10,,Elizabeth Stewart,CA,PROD-079,Books,3,24.22,Debit Card,Cancelled,Mobile App
WEB-10152,2026-09-08,CUST-389,Patrick Thompson,FR,PROD-077,Clothing,2,33.07,Credit Card,Returned,Mobile Web
WEB-10153,2026-01-25,CUST-356,Jacob Esparza,FR,PROD-009,Books,4,40.87,PayPal,Cancelled,Mobile Web
WEB-10154,2026-04-17,CUST-322,Nichole Acosta,US,PROD-088,Home,2,107.79,Debit Card,Completed,Desktop Web
WEB-10155,2026-04-30,CUST-288,Samuel Wilson,DE,PROD-085,Sports,2,63.74,UPI,Completed,Desktop Web
WEB-10156,2026-06-24,CUST-303,Rachel Carlson,CA,PROD-087,Clothing,2,-98.57,PayPal,Returned,Mobile App
WEB-10157,2025-12-23,CUST-288,Rachel Nelson,FR,PROD-096,Electronics,2,207.41,Debit Card,Returned,Mobile App
WEB-10158,2026-07-13,CUST-136,Raymond Ball,CA,PROD-037,Clothing,1,32.1,Debit Card,Completed,Desktop Web
WEB-10159,2026-06-03,CUST-351,Jaime Campbell,UK,PROD-084,Books,1,36.44,Debit Card,Cancelled,Mobile App
WEB-10160,2026-03-13,CUST-306,Scott Castaneda,CA,PROD-075,Sports,5,262.07,Credit Card,Returned,Desktop Web
WEB-10161,2026-03-28,CUST-145,Edward Frank,AU,PROD-086,Electronics,5,311.81,Credit Card,Completed,Mobile App
WEB-10162,2026-05-10,CUST-254,Susan Moore,DE,PROD-030,Sports,1,269.24,Debit Card,Cancelled,Mobile Web
WEB-10163,2025-10-25,CUST-234,Daniel Morse,IN,PROD-046,Electronics,3,432.0,PayPal,Returned,Mobile Web
WEB-10164,2026-09-11,CUST-383,Joan Bryan,US,PROD-100,Sports,1,78.58,UPI,Completed,Mobile Web
WEB-10165,2026-08-20,CUST-117,Katherine Li,AU,PROD-045,Sports,1,147.03,Credit Card,Returned,Mobile Web
WEB-10166,2025-11-22,CUST-274,Heather Perez,IN,PROD-055,Sports,1,62.86,Debit Card,Completed,Mobile Web
WEB-10167,2025-10-24,CUST-382,Seth Dixon,IN,PROD-027,Clothing,3,103.68,UPI,Cancelled,Desktop Web
WEB-10168,2026-08-18,CUST-269,Thomas Murphy,US,PROD-007,Clothing,1,45.48,UPI,Returned,Mobile App
WEB-10169,2026-08-16,CUST-310,Ian Morris,IN,PROD-020,Sports,3,251.7,Credit Card,Cancelled,Mobile App
WEB-10170,2026-07-16,CUST-332,Bruce Martinez,DE,PROD-040,Sports,4,80.72,PayPal,Returned,Desktop Web
WEB-10171,2025-12-10,CUST-120,Stacy Rivera,FR,PROD-009,Books,2,14.06,PayPal,Completed,Mobile Web
WEB-10172,2026-04-19,CUST-342,Jennifer Sherman,CA,PROD-092,Clothing,4,52.87,Credit Card,Completed,Mobile App
WEB-10173,2026-03-01,CUST-135,Jon Watson,US,PROD-089,Books,2,29.98,PayPal,Completed,Mobile App
WEB-10174,2026-01-12,CUST-275,Charles Cervantes,DE,PROD-034,Books,2,37.26,PayPal,Returned,Desktop Web
WEB-10175,2025-10-09,CUST-249,Matthew Pierce,UK,PROD-055,Sports,1,216.57,Credit Card,Cancelled,Mobile Web
WEB-10176,2025-12-26,CUST-170,Joseph Gibson,CA,PROD-064,Books,4,13.84,PayPal,Cancelled,Mobile App
WEB-10177,2026-06-30,CUST-330,John Jensen,UK,PROD-027,Clothing,4,22.49,UPI,Completed,Mobile Web
WEB-10178,2026-08-15,CUST-324,William Diaz,CA,PROD-010,Sports,4,61.83,PayPal,Returned,Desktop Web
WEB-10179,2026-07-09,CUST-337,Jennifer Alexander,UK,PROD-007,Clothing,4,109.4,Credit Card,Returned,Mobile Web
WEB-10180,2026-04-16,CUST-118,William House,US,PROD-014,Books,5,36.45,PayPal,Returned,Mobile Web
WEB-10181,2025-11-13,CUST-379,Carlos Dominguez,FR,PROD-024,Books,4,23.06,Debit Card,Completed,Desktop Web
WEB-10182,2025-10-08,CUST-264,David Sosa,IN,PROD-011,Electronics,2,60.06,Debit Card,Cancelled,Desktop Web
WEB-10183,2025-11-16,CUST-115,Mary Dawson,FR,PROD-091,Electronics,4,367.01,PayPal,Completed,Mobile Web
WEB-10184,2026-04-11,CUST-291,Allison Montgomery,CA,PROD-016,Electronics,1,679.53,UPI,Returned,Desktop Web
WEB-10185,2026-05-22,CUST-211,Johnny Gutierrez,FR,PROD-089,Books,1,27.81,Credit Card,Returned,Mobile App
WEB-10186,2025-09-19,CUST-176,Sabrina Woodward,CA,PROD-080,Sports,2,228.88,PayPal,Cancelled,Desktop Web
WEB-10187,2026-06-19,CUST-398,Kevin Villarreal,DE,PROD-063,Home,3,64.73,Debit Card,Cancelled,Mobile Web
WEB-10188,2026-08-23,CUST-112,Beth Davis,FR,PROD-043,Home,4,166.29,Credit Card,Returned,Mobile App
WEB-10189,2026-01-21,CUST-152,Ernest Gross,CA,PROD-098,Home,2,53.41,UPI,Cancelled,Desktop Web
WEB-10190,2026-02-04,CUST-380,Joanna Williams,FR,PROD-038,Home,4,30.18,Debit Card,Completed,Desktop Web
WEB-10191,2025-11-12,CUST-220,Cory Moreno,FR,PROD-058,Home,5,99.05,Debit Card,Completed,Mobile App
WEB-10192,2025-10-11,CUST-201,Jennifer Mclean MD,UK,PROD-036,Electronics,4,107.56,Debit Card,Returned,Desktop Web
WEB-10193,2025-09-15,CUST-190,Samantha Fleming,AU,PROD-021,Electronics,2,499.11,UPI,Completed,Mobile Web
WEB-10194,2026-03-19,CUST-170,Nathan Ramirez,FR,PROD-001,Electronics,2,156.41,Credit Card,Returned,Desktop Web
WEB-10195,2025-10-14,CUST-165,Thomas Woods,CA,PROD-027,Clothing,5,43.71,Credit Card,Cancelled,Desktop Web
WEB-10196,2026-06-07,CUST-125,Michael Lowe,US,PROD-042,Clothing,3,65.62,Credit Card,Completed,Mobile Web
WEB-10197,2026-06-15,CUST-238,John Wilson,US,PROD-082,Clothing,1,94.54,PayPal,Returned,Desktop Web
WEB-10198,2025-11-07,CUST-243,Ronald Lane,CA,PROD-010,Sports,5,29.65,Credit Card,Cancelled,Mobile App
WEB-10199,2026-06-20,CUST-336,William Jones,UK,PROD-037,Clothing,2,106.94,Credit Card,Returned,Mobile App
WEB-10200,2026-06-25,CUST-191,Jessica Conway DDS,US,PROD-064,Books,-1,20.33,Debit Card,Returned,Desktop Web
WEB-10201,2026-07-24,CUST-366,Ryan Bowman,AU,PROD-078,Home,4,221.48,PayPal,Returned,Desktop Web
WEB-10202,2026-08-22,CUST-364,Robert Leonard,FR,PROD-068,Home,5,124.25,Debit Card,Returned,Mobile App
WEB-10203,2026-07-29,CUST-150,Brenda Hale,IN,PROD-081,Electronics,4,340.86,UPI,Cancelled,Mobile Web
WEB-10204,2026-08-11,CUST-226,Katie Phillips,IN,PROD-081,Electronics,2,418.05,Credit Card,Completed,Desktop Web
WEB-10205,2025-10-15,CUST-370,Melissa Shaw,AU,PROD-039,Books,4,14.19,Debit Card,Completed,Desktop Web
WEB-10206,2026-03-01,CUST-261,Corey Robinson,AU,PROD-067,Clothing,5,59.72,Credit Card,Returned,Desktop Web
WEB-10207,2026-08-19,CUST-316,Jacob Benson,FR,PROD-078,Home,3,167.6,UPI,Returned,Mobile Web
WEB-10208,2026-01-30,CUST-323,Nicole Kennedy,UK,PROD-089,Books,1,9.74,Debit Card,Completed,Mobile App
WEB-10209,2025-10-10,CUST-337,Stephanie Brady,IN,PROD-032,Clothing,3,47.6,Credit Card,Returned,Mobile App
WEB-10210,2026-06-30,CUST-278,April Fletcher,AU,PROD-063,Home,3,246.6,PayPal,Completed,Mobile App
WEB-10211,2026-04-18,CUST-183,Jessica Williams,US,PROD-051,Electronics,1,682.98,UPI,Returned,Desktop Web
WEB-10212,2025-10-18,CUST-101,Dave Nielsen,DE,PROD-039,Books,2,29.51,UPI,Completed,Desktop Web
WEB-10213,2026-02-22,CUST-324,Kristin Graham,DE,PROD-034,Books,4,28.96,Credit Card,Cancelled,Desktop Web
WEB-10214,2025-11-04,CUST-283,Alicia Waters,FR,PROD-009,Books,2,42.76,UPI,Returned,Desktop Web
WEB-10215,2026-09-08,CUST-101,Samuel Gallegos,DE,PROD-079,Books,2,14.24,Debit Card,Completed,Mobile Web
WEB-10216,2026-02-21,CUST-353,Alyssa Hamilton,AU,PROD-056,Electronics,4,54.12,Debit Card,Cancelled,Mobile Web
WEB-10217,2026-07-13,CUST-214,Samantha Morgan,IN,PROD-073,Home,5,189.72,PayPal,Completed,Mobile Web
